lead_frequency_class,scenario,n_haplotypes,n_partners,replicate,lead_alt_frequency,n_monomorphic_panel_variants,fit_available,lead_state,n_conditioning_haplotypes,empirical_mode_available,empirical_mode_maximum_count,n_tied_empirical_modes,true_mode_in_empirical_mode_set,ld_sign_available,n_undefined_ld_sign_partners,true_top1_in_fitted_top10,top10_overlap_fraction,available,strategy,exact_true_mode,hamming_to_true_mode,true_log_probability,true_probability,true_probability_regret,true_rank_if_top10
common,balanced_q1,1000,256,4,0.06067922768097732,0,True,0,931,True,1,931,False,True,0,True,0.3,True,ld_sign,True,0.0,-13.63643334309188,1.196113098322536e-06,0.0,1.0
common,balanced_q1,1000,256,4,0.06067922768097732,0,True,1,69,True,1,69,False,True,0,True,0.3,True,fitted,False,1.0,-13.331859339008703,1.6219858290734346e-06,1.419210369914371e-05,10.0
common,balanced_q1,1000,256,4,0.06067922768097732,0,True,1,69,True,1,69,False,True,0,True,0.3,True,empirical_mode,False,109.0,-58.922793816687886,2.5713179826204033e-26,1.5814089528217144e-05,
common,balanced_q1,1000,256,4,0.06067922768097732,0,True,1,69,True,1,69,False,True,0,True,0.3,True,ld_sign,True,0.0,-11.054609273005074,1.5814089528217117e-05,2.710505431213761e-20,1.0
common,balanced_q1,1000,256,5,0.09346369867789764,0,True,0,902,True,1,902,False,True,0,True,0.3,True,fitted,True,0.0,-13.308118120465986,1.6609545006294914e-06,-2.964615315390051e-21,1.0
common,balanced_q1,1000,256,5,0.09346369867789764,0,True,0,902,True,1,902,False,True,0,True,0.3,True,empirical_mode,False,125.0,-31.91462516935379,1.37928621874257e-14,1.6609544868366262e-06,
common,balanced_q1,1000,256,5,0.09346369867789764,0,True,0,902,True,1,902,False,True,0,True,0.3,True,ld_sign,True,0.0,-13.308118120465986,1.6609545006294914e-06,-2.964615315390051e-21,1.0
common,balanced_q1,1000,256,5,0.09346369867789764,0,True,1,98,True,1,98,False,True,0,True,0.3,True,fitted,False,1.0,-15.087538198850396,2.802627730053547e-07,7.348005192850712e-06,
common,balanced_q1,1000,256,5,0.09346369867789764,0,True,1,98,True,1,98,False,True,0,True,0.3,True,empirical_mode,False,124.0,-37.71113578020654,4.190461205098027e-17,7.628267965814162e-06,
common,balanced_q1,1000,256,5,0.09346369867789764,0,True,1,98,True,1,98,False,True,0,True,0.3,True,ld_sign,True,0.0,-11.78364974160137,7.628267965856067e-06,0.0,1.0
common,balanced_q1,1000,256,6,0.3693873727726029,0,True,0,645,True,1,645,False,True,0,True,0.5,True,fitted,True,0.0,-13.59965195811161,1.2409268993481398e-06,1.1011428314305904e-20,1.0
common,balanced_q1,1000,256,6,0.3693873727726029,0,True,0,645,True,1,645,False,True,0,True,0.5,True,empirical_mode,False,126.0,-48.23470593672211,1.1270245475616397e-21,1.2409268993481497e-06,
common,balanced_q1,1000,256,6,0.3693873727726029,0,True,0,645,True,1,645,False,True,0,True,0.5,True,ld_sign,True,0.0,-13.59965195811161,1.2409268993481398e-06,1.1011428314305904e-20,1.0
common,balanced_q1,1000,256,6,0.3693873727726029,0,True,1,355,True,1,355,False,True,0,True,0.5,True,fitted,True,0.0,-13.00367571161771,2.25203633872084e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,6,0.3693873727726029,0,True,1,355,True,1,355,False,True,0,True,0.5,True,empirical_mode,False,126.0,-39.61347141252285,6.252993201647132e-18,2.252036338714591e-06,
common,balanced_q1,1000,256,6,0.3693873727726029,0,True,1,355,True,1,355,False,True,0,True,0.5,True,ld_sign,True,0.0,-13.00367571161771,2.25203633872084e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,7,0.33231715417222485,1,True,0,665,True,1,665,False,False,1,True,0.3,True,fitted,True,0.0,-14.013457788409683,8.204131448318126e-07,0.0,1.0
common,balanced_q1,1000,256,7,0.33231715417222485,1,True,0,665,True,1,665,False,False,1,True,0.3,True,empirical_mode,False,123.0,-36.15024658883051,1.9959395644001165e-16,8.204131446322186e-07,
common,balanced_q1,1000,256,7,0.33231715417222485,1,True,0,665,True,1,665,False,False,1,True,0.3,False,ld_sign,,,,,,
common,balanced_q1,1000,256,7,0.33231715417222485,1,True,1,335,True,1,335,False,False,1,False,0.0,True,fitted,False,3.0,-19.602563996156775,3.0670059980074846e-09,1.768532115605017e-06,
common,balanced_q1,1000,256,7,0.33231715417222485,1,True,1,335,True,1,335,False,False,1,False,0.0,True,empirical_mode,False,132.0,-41.66683131327669,8.022783677472958e-19,1.7715991216022222e-06,
