lead_frequency_class,n_haplotypes,n_panels,zero_alt_carrier_fraction,median_alt_carriers,p05_alt_carriers,p95_alt_carriers,tie_fraction_given_available
common,500,270,0.0,117.5,35.45,195.0,0.3814814814814815
common,1000,270,0.0,235.0,70.0,386.54999999999995,0.34074074074074073
common,2000,270,0.0,473.5,138.45,766.65,0.2740740740740741
rare,500,270,0.003703703703703704,8.0,1.0,26.0,0.5018587360594795
rare,1000,270,0.003703703703703704,16.5,4.0,49.099999999999966,0.4275092936802974
rare,2000,270,0.0,33.0,10.0,92.54999999999998,0.3333333333333333
