lead_frequency_class,scenario,n_haplotypes,n_partners,strategy,n_panels,n_available,unavailable_fraction,n_empirical_evaluable,unavailable_fraction_among_empirical_evaluable,exact_recovery_given_available,error_given_available,exact_recovery_on_empirical_evaluable_panels,error_on_empirical_evaluable_panels,unconditional_correct_fraction,median_hamming_given_available,p95_hamming_given_available,median_alt_carriers,zero_alt_carrier_fraction,tie_fraction_given_available,true_mode_in_empirical_mode_set_given_available
common,lead_ld_q1,500,4,ld_sign,30,30,0.0,30,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,1.0,2.0,139.0,,,
common,lead_ld_q1,500,32,empirical_mode,30,30,0.0,30,0.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.0,2.549999999999997,141.0,0.0,0.03333333333333333,0.6666666666666666
common,lead_ld_q1,500,32,fitted,30,30,0.0,30,0.0,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.0,2.549999999999997,141.0,,,
common,lead_ld_q1,500,32,ld_sign,30,25,0.16666666666666663,30,0.16666666666666663,0.0,1.0,0.0,1.0,0.0,9.0,15.0,141.0,,,
common,lead_ld_q1,500,256,empirical_mode,30,30,0.0,30,0.0,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,116.0,131.1,130.5,0.0,0.8666666666666667,0.43333333333333335
common,lead_ld_q1,500,256,fitted,30,30,0.0,30,0.0,0.8,0.19999999999999996,0.8,0.19999999999999996,0.8,0.0,7.749999999999986,130.5,,,
common,lead_ld_q1,500,256,ld_sign,30,15,0.5,30,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,130.5,,,
common,lead_ld_q1,1000,4,empirical_mode,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,256.0,0.0,0.0,1.0
common,lead_ld_q1,1000,4,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,256.0,,,
common,lead_ld_q1,1000,4,ld_sign,30,30,0.0,30,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,1.0,2.0,256.0,,,
common,lead_ld_q1,1000,32,empirical_mode,30,30,0.0,30,0.0,0.7,0.30000000000000004,0.7,0.30000000000000004,0.7,0.0,3.0,287.5,0.0,0.13333333333333333,0.8
common,lead_ld_q1,1000,32,fitted,30,30,0.0,30,0.0,0.8,0.19999999999999996,0.8,0.19999999999999996,0.8,0.0,1.5499999999999972,287.5,,,
common,lead_ld_q1,1000,32,ld_sign,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,9.0,15.0,287.5,,,
common,lead_ld_q1,1000,256,empirical_mode,30,30,0.0,30,0.0,0.3,0.7,0.3,0.7,0.3,115.0,130.2,257.5,0.0,0.6666666666666666,0.7
common,lead_ld_q1,1000,256,fitted,30,30,0.0,30,0.0,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.0,0.5499999999999972,257.5,,,
common,lead_ld_q1,1000,256,ld_sign,30,27,0.09999999999999998,30,0.09999999999999998,1.0,0.0,1.0,0.0,0.9,0.0,0.0,257.5,,,
common,lead_ld_q1,2000,4,empirical_mode,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,514.5,0.0,0.0,1.0
common,lead_ld_q1,2000,4,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,514.5,,,
common,lead_ld_q1,2000,4,ld_sign,30,30,0.0,30,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,1.0,2.0,514.5,,,
common,lead_ld_q1,2000,32,empirical_mode,30,30,0.0,30,0.0,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.0,2.0999999999999943,576.0,0.0,0.03333333333333333,0.8666666666666667
common,lead_ld_q1,2000,32,fitted,30,30,0.0,30,0.0,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9,0.0,2.0999999999999943,576.0,,,
common,lead_ld_q1,2000,32,ld_sign,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,9.0,15.0,576.0,,,
common,lead_ld_q1,2000,256,empirical_mode,30,30,0.0,30,0.0,0.6,0.4,0.6,0.4,0.6,0.0,130.2,507.5,0.0,0.4,0.9333333333333333
common,lead_ld_q1,2000,256,fitted,30,30,0.0,30,0.0,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.0,0.0,507.5,,,
common,lead_ld_q1,2000,256,ld_sign,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,507.5,,,
common,lead_ld_q2,500,4,empirical_mode,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,107.5,0.0,0.0,1.0
common,lead_ld_q2,500,4,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,107.5,,,
common,lead_ld_q2,500,4,ld_sign,30,29,0.033333333333333326,30,0.033333333333333326,0.27586206896551724,0.7241379310344828,0.27586206896551724,0.7241379310344828,0.26666666666666666,1.0,3.0,107.5,,,
common,lead_ld_q2,500,32,empirical_mode,30,30,0.0,30,0.0,0.6333333333333333,0.3666666666666667,0.6333333333333333,0.3666666666666667,0.6333333333333333,0.0,3.6499999999999915,102.0,0.0,0.23333333333333334,0.7
common,lead_ld_q2,500,32,fitted,30,30,0.0,30,0.0,0.6333333333333333,0.3666666666666667,0.6333333333333333,0.3666666666666667,0.6333333333333333,0.0,3.549999999999997,102.0,,,
common,lead_ld_q2,500,32,ld_sign,30,27,0.09999999999999998,30,0.09999999999999998,0.0,1.0,0.0,1.0,0.0,9.0,14.7,102.0,,,
